date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:48:22	34090/34090	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202023%2000:48:19%20GMT	https://tieppoautomoveis.com.br/fale-conosco	C:/tippoutomoveis/tieppoautomoveis.com.br/fale-conosco.html	(from https://tieppoautomoveis.com.br/)
21:48:29	49354/49354	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202023%2000:48:22%20GMT	https://tieppoautomoveis.com.br/veiculo/112484257/Carro-ONIX-PLUS-1.0T-LTZ-AT-2022	C:/tippoutomoveis/tieppoautomoveis.com.br/veiculo/112484257/Carro-ONIX-PLUS-1.html	(from https://tieppoautomoveis.com.br/)
21:48:32	1205/1205	---M--	200	added ('OK')	image/png	etag:%224b5-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/images/ico_date.png	C:/tippoutomoveis/tieppoautomoveis.com.br/images/ico_date.png	(from https://tieppoautomoveis.com.br/)
21:48:35	1239/1239	---M--	200	added ('OK')	image/png	etag:%224d7-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/images/ico_km.png	C:/tippoutomoveis/tieppoautomoveis.com.br/images/ico_km.png	(from https://tieppoautomoveis.com.br/)
21:49:17	49352/49352	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202023%2000:48:34%20GMT	https://tieppoautomoveis.com.br/veiculo/112478754/Carro-DUSTER-1.6-CVT-INTENSE-2022	C:/tippoutomoveis/tieppoautomoveis.com.br/veiculo/112478754/Carro-DUSTER-1.html	(from https://tieppoautomoveis.com.br/)
21:49:40	1110944/1110944	---M--	200	added ('OK')	image/jpeg	etag:%2210f3a0-60258d1740cb0%22	https://www.negociecarros.com.br/fotos_g/707390188.jpeg	C:/tippoutomoveis/www.negociecarros.com.br/fotos_g/707390188.jpg	(from https://tieppoautomoveis.com.br/)
21:50:14	49678/49678	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202023%2000:50:04%20GMT	https://tieppoautomoveis.com.br/veiculo/112484665/Carro-ONIX-HATCH-1.0-T-AT-PREMIER-2021	C:/tippoutomoveis/tieppoautomoveis.com.br/veiculo/112484665/Carro-ONIX-HATCH-1.html	(from https://tieppoautomoveis.com.br/)
21:50:28	1109411/1109411	---M--	200	added ('OK')	image/jpeg	etag:%2210eda3-60259141bde84%22	https://www.negociecarros.com.br/fotos_g/949438054.jpeg	C:/tippoutomoveis/www.negociecarros.com.br/fotos_g/949438054.jpg	(from https://tieppoautomoveis.com.br/)
21:50:47	49528/49528	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Aug%202023%2000:50:22%20GMT	https://tieppoautomoveis.com.br/veiculo/112475002/Carro-SPIN-1.8-ACTIV-AUTOM%c3%81TICA-2019	C:/tippoutomoveis/tieppoautomoveis.com.br/veiculo/112475002/Carro-SPIN-1.html	(from https://tieppoautomoveis.com.br/)
21:50:48	1085038/1085038	---M--	200	added ('OK')	image/jpeg	etag:%22108e6e-60257bcf8f312%22	https://www.negociecarros.com.br/fotos_g/161655014.jpeg	C:/tippoutomoveis/www.negociecarros.com.br/fotos_g/161655014.jpg	(from https://tieppoautomoveis.com.br/)
